Linux 3.2.0-25-virtual (ip-10-154-184-231) 	04/05/2014 	_x86_64_	(4 CPU)

09:40:03 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:40:04 PM     all      0.00      0.00      0.27     12.73      0.27     86.74
09:40:05 PM     all      0.00      0.00      0.27      0.00      0.00     99.73
09:40:06 PM     all      0.78      0.00      7.49      1.03      0.26     90.44
09:40:07 PM     all      7.29      0.00      4.52      7.54      0.00     80.65
09:40:08 PM     all     12.66      0.00     13.67      6.08      0.25     67.34
09:40:09 PM     all      4.76      0.00     27.82     17.54      0.00     49.87
09:40:10 PM     all      4.75      0.00     27.75     20.75      0.00     46.75
09:40:11 PM     all      4.86      0.00     26.34     13.55      0.26     54.99
09:40:12 PM     all      2.27      0.00     11.08      0.00      0.00     86.65
09:40:13 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:15 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:40:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:17 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:18 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:40:19 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
09:40:20 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:21 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
09:40:22 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:23 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:40:24 PM     all      0.00      0.00      0.25      0.25      0.00     99.50
09:40:25 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:26 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:27 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:28 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:30 PM     all      0.25      0.00      0.00      0.00      0.00     99.75
09:40:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:32 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:40:33 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:40:34 PM     all      0.00      0.00      0.00      0.25      0.00     99.75
09:40:35 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:40:36 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:40:37 PM     all      5.51      0.00      1.25      0.00      0.00     93.23
09:40:38 PM     all      1.26      0.00      1.01      0.00      0.00     97.74
09:40:39 PM     all     23.92      0.00      5.85      0.25      0.25     69.72
09:40:40 PM     all     30.63      0.00     10.63      0.00      0.51     58.23
09:40:41 PM     all     16.41      0.00      3.54     25.76      0.00     54.29
09:40:42 PM     all     11.78      0.00      5.26      4.01      0.00     78.95
09:40:43 PM     all      7.02      0.00      3.76      8.27      0.00     80.95
09:40:44 PM     all     16.04      0.00      7.02      2.26      0.00     74.69
09:40:45 PM     all      2.24      0.00      4.48     18.41      0.00     74.88
09:40:46 PM     all     13.00      0.00     10.75      2.00      0.00     74.25
09:40:47 PM     all     20.75      0.00      2.50     18.25      0.00     58.50
09:40:48 PM     all     22.61      0.00      2.51      6.78      0.00     68.09
09:40:49 PM     all     19.45      0.00      5.74      0.00      0.25     74.56
09:40:50 PM     all     20.75      0.00      4.25      0.00      0.00     75.00
09:40:51 PM     all     20.20      0.00      4.99      0.00      0.00     74.81
09:40:52 PM     all     24.31      0.00      0.75      0.00      0.00     74.94
09:40:53 PM     all     23.19      0.00      2.49     10.47      0.00     63.84
09:40:54 PM     all     21.91      0.00      2.52      0.25      0.00     75.31
09:40:55 PM     all      7.52      0.00      2.26     15.04      0.00     75.19
09:40:56 PM     all     21.20      0.00      3.49      0.50      0.00     74.81
09:40:57 PM     all     23.31      0.00      0.50      1.25      0.00     74.94
09:40:58 PM     all     23.69      0.00      1.50      0.50      0.00     74.31
09:40:59 PM     all     24.25      0.00      0.75      0.00      0.00     75.00
09:41:00 PM     all     18.45      0.00      5.99      0.50      0.25     74.81
09:41:01 PM     all      7.02      0.00      3.51     14.54      0.00     74.94
09:41:02 PM     all      0.25      0.00      0.25     24.88      0.00     74.63
09:41:03 PM     all     18.70      0.00      1.50      4.99      0.00     74.81
09:41:04 PM     all     22.06      0.00      3.01      0.00      0.00     74.94
09:41:05 PM     all     20.95      0.00      4.24      0.00      0.00     74.81
09:41:06 PM     all     23.31      0.00      1.75      0.00      0.00     74.94
09:41:07 PM     all     24.19      0.00      1.00      0.00      0.00     74.81
09:41:08 PM     all     23.81      0.00      1.00      0.00      0.00     75.19
09:41:09 PM     all     23.75      0.00      1.50      0.00      0.00     74.75
09:41:10 PM     all     20.55      0.00      4.51      0.00      0.00     74.94
09:41:11 PM     all     23.69      0.00      1.50      0.00      0.00     74.81
09:41:12 PM     all     21.50      0.00      3.50      0.00      0.00     75.00
09:41:13 PM     all     23.50      0.00      1.75      0.25      0.00     74.50
09:41:14 PM     all     21.30      0.00      3.51      0.00      0.00     75.19
09:41:15 PM     all     24.69      0.00      0.75      0.00      0.00     74.56
09:41:16 PM     all     24.00      0.00      1.00      0.00      0.00     75.00
09:41:17 PM     all     22.00      0.00      3.25      0.00      0.00     74.75
09:41:18 PM     all     23.00      0.00      2.00      0.25      0.00     74.75
09:41:19 PM     all     23.81      0.00      1.25      0.00      0.00     74.94
09:41:20 PM     all     23.94      0.00      1.25      0.00      0.00     74.81
09:41:21 PM     all     23.31      0.00      1.75      0.00      0.00     74.94
09:41:22 PM     all     20.75      0.00      4.25      0.00      0.00     75.00
09:41:23 PM     all     23.75      0.00      1.50      0.00      0.00     74.75
09:41:24 PM     all     20.50      0.00      4.50      0.00      0.00     75.00
09:41:25 PM     all     22.06      0.00      3.01      0.00      0.00     74.94
09:41:26 PM     all     18.75      0.00      4.25      2.25      0.00     74.75
09:41:27 PM     all     18.70      0.00      4.24      0.50      0.00     76.56
09:41:28 PM     all      2.76      0.00      1.25      0.25      0.00     95.74
09:41:29 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:41:30 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:41:31 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
09:41:32 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:41:33 PM     all      4.26      0.00      7.77      6.02      0.00     81.95
09:41:34 PM     all      0.25      0.00      0.75      0.00      0.00     99.00
09:41:35 PM     all      8.29      0.00     17.34      0.50      0.00     73.87
09:41:36 PM     all      7.25      0.00     15.50      4.00      0.00     73.25
09:41:37 PM     all      8.75      0.00     18.00      0.00      0.00     73.25
09:41:38 PM     all      7.07      0.00     12.88      6.31      0.00     73.74
09:41:39 PM     all      7.29      0.00     20.35      1.01      0.00     71.36
09:41:40 PM     all      3.52      0.00     28.64      0.00      0.25     67.59
09:41:41 PM     all      4.00      0.00     25.75      0.00      0.00     70.25
09:41:42 PM     all     15.00      0.00     11.75      0.00      0.00     73.25
09:41:43 PM     all     18.34      0.00      6.28      0.75      0.00     74.62
09:41:44 PM     all     13.03      0.00     12.28      0.50      0.00     74.19
09:41:45 PM     all      6.80      0.00     12.59      1.51      0.25     78.84
09:41:46 PM     all      1.00      0.00      2.25      0.00      0.00     96.75
09:41:47 PM     all      7.29      0.00     18.84      0.00      0.00     73.87
09:41:48 PM     all      7.77      0.00     18.05      0.75      0.25     73.18
